# log n	log T	log cool/n2	log heat/n2
  0.00	 5.00	    -21.276	    -25.635
  0.00	 5.10	    -21.322	    -25.621
  0.00	 5.20	    -21.324	    -25.612
  0.00	 5.30	    -21.300	    -25.615
  0.00	 5.40	    -21.291	    -25.617
  0.00	 5.50	    -21.466	    -25.620
  0.00	 5.60	    -21.674	    -25.633
  0.00	 5.70	    -21.725	    -25.643
  0.00	 5.80	    -21.778	    -25.651
  0.00	 5.90	    -21.807	    -25.655
  0.00	 6.00	    -21.814	    -25.656
  0.00	 6.10	    -21.837	    -25.658
  0.00	 6.20	    -21.892	    -25.660
  0.00	 6.30	    -22.070	    -25.662
  0.00	 6.40	    -22.251	    -25.663
  0.00	 6.50	    -22.387	    -25.664
  0.00	 6.60	    -22.467	    -25.665
  0.00	 6.70	    -22.497	    -25.665
  0.00	 6.80	    -22.502	    -25.665
  0.00	 6.90	    -22.492	    -25.665
  0.00	 7.00	    -22.491	    -25.665
  0.00	 7.10	    -22.535	    -25.665
  0.00	 7.20	    -22.611	    -25.665
  0.00	 7.30	    -22.658	    -25.665
  0.00	 7.40	    -22.670	    -25.665
  0.00	 7.50	    -22.660	    -25.665
  0.00	 7.60	    -22.634	    -25.665
  0.00	 7.70	    -22.601	    -25.665
  0.00	 7.80	    -22.564	    -25.665
  0.00	 7.90	    -22.526	    -25.665
  0.00	 8.00	    -22.489	    -25.665
  0.00	 8.10	    -22.450	    -25.665
  0.00	 8.20	    -22.410	    -25.665
  0.00	 8.30	    -22.369	    -25.665
  0.00	 8.40	    -22.320	    -25.661
  0.00	 8.50	    -22.275	    -25.661
  0.00	 8.60	    -22.227	    -25.661
  0.00	 8.70	    -22.183	    -25.665
  0.00	 8.80	    -22.132	    -25.665
  0.00	 8.90	    -22.079	    -25.665
  0.00	 9.00	    -22.026	    -25.665
