# log n	log T	log cool/n2	log heat/n2
 -4.00	 1.00	    -25.453	    -21.381
 -4.00	 1.25	    -25.230	    -21.440
 -4.00	 1.50	    -24.874	    -21.491
 -4.00	 1.75	    -24.491	    -21.533
 -4.00	 2.00	    -24.107	    -21.566
 -4.00	 2.25	    -23.774	    -21.592
 -4.00	 2.50	    -23.555	    -21.612
 -4.00	 2.75	    -23.432	    -21.626
 -4.00	 3.00	    -23.365	    -21.637
 -4.00	 3.25	    -23.327	    -21.645
 -4.00	 3.50	    -23.305	    -21.651
 -4.00	 3.75	    -23.285	    -21.655
 -4.00	 4.00	    -23.163	    -21.658
 -4.00	 4.25	    -22.826	    -21.660
 -4.00	 4.50	    -22.274	    -21.662
 -4.00	 4.75	    -21.741	    -21.663
 -4.00	 5.00	    -21.397	    -21.665
 -3.75	 1.00	    -25.478	    -21.510
 -3.75	 1.25	    -25.223	    -21.584
 -3.75	 1.50	    -24.829	    -21.651
 -3.75	 1.75	    -24.469	    -21.709
 -3.75	 2.00	    -24.129	    -21.757
 -3.75	 2.25	    -23.805	    -21.796
 -3.75	 2.50	    -23.575	    -21.827
 -3.75	 2.75	    -23.444	    -21.851
 -3.75	 3.00	    -23.382	    -21.869
 -3.75	 3.25	    -23.360	    -21.882
 -3.75	 3.50	    -23.357	    -21.891
 -3.75	 3.75	    -23.337	    -21.898
 -3.75	 4.00	    -23.175	    -21.903
 -3.75	 4.25	    -22.788	    -21.906
 -3.75	 4.50	    -22.221	    -21.909
 -3.75	 4.75	    -21.705	    -21.912
 -3.75	 5.00	    -21.353	    -21.914
 -3.50	 1.00	    -25.517	    -21.623
 -3.50	 1.25	    -25.229	    -21.706
 -3.50	 1.50	    -24.794	    -21.785
 -3.50	 1.75	    -24.437	    -21.858
 -3.50	 2.00	    -24.135	    -21.922
 -3.50	 2.25	    -23.837	    -21.978
 -3.50	 2.50	    -23.608	    -22.024
 -3.50	 2.75	    -23.470	    -22.060
 -3.50	 3.00	    -23.403	    -22.089
 -3.50	 3.25	    -23.387	    -22.110
 -3.50	 3.50	    -23.398	    -22.126
 -3.50	 3.75	    -23.378	    -22.137
 -3.50	 4.00	    -23.182	    -22.145
 -3.50	 4.25	    -22.751	    -22.151
 -3.50	 4.50	    -22.171	    -22.156
 -3.50	 4.75	    -21.680	    -22.161
 -3.50	 5.00	    -21.323	    -22.164
 -3.25	 1.00	    -25.576	    -21.731
 -3.25	 1.25	    -25.257	    -21.815
 -3.25	 1.50	    -24.781	    -21.900
 -3.25	 1.75	    -24.412	    -21.983
 -3.25	 2.00	    -24.131	    -22.062
 -3.25	 2.25	    -23.861	    -22.133
 -3.25	 2.50	    -23.645	    -22.196
 -3.25	 2.75	    -23.507	    -22.249
 -3.25	 3.00	    -23.434	    -22.291
 -3.25	 3.25	    -23.414	    -22.325
 -3.25	 3.50	    -23.427	    -22.350
 -3.25	 3.75	    -23.407	    -22.369
 -3.25	 4.00	    -23.187	    -22.382
 -3.25	 4.25	    -22.714	    -22.392
 -3.25	 4.50	    -22.127	    -22.402
 -3.25	 4.75	    -21.662	    -22.410
 -3.25	 5.00	    -21.304	    -22.414
 -3.00	 1.00	    -25.658	    -21.845
 -3.00	 1.25	    -25.309	    -21.924
 -3.00	 1.50	    -24.796	    -22.007
 -3.00	 1.75	    -24.408	    -22.093
 -3.00	 2.00	    -24.130	    -22.180
 -3.00	 2.25	    -23.878	    -22.263
 -3.00	 2.50	    -23.677	    -22.341
 -3.00	 2.75	    -23.545	    -22.411
 -3.00	 3.00	    -23.471	    -22.471
 -3.00	 3.25	    -23.445	    -22.520
 -3.00	 3.50	    -23.451	    -22.559
 -3.00	 3.75	    -23.425	    -22.589
 -3.00	 4.00	    -23.190	    -22.611
 -3.00	 4.25	    -22.676	    -22.627
 -3.00	 4.50	    -22.088	    -22.646
 -3.00	 4.75	    -21.650	    -22.659
 -3.00	 5.00	    -21.293	    -22.664
 -2.75	 1.00	    -25.767	    -21.974
 -2.75	 1.25	    -25.389	    -22.043
 -2.75	 1.50	    -24.839	    -22.119
 -2.75	 1.75	    -24.429	    -22.201
 -2.75	 2.00	    -24.144	    -22.288
 -2.75	 2.25	    -23.897	    -22.376
 -2.75	 2.50	    -23.704	    -22.464
 -2.75	 2.75	    -23.579	    -22.547
 -2.75	 3.00	    -23.506	    -22.623
 -2.75	 3.25	    -23.474	    -22.690
 -2.75	 3.50	    -23.466	    -22.746
 -2.75	 3.75	    -23.427	    -22.792
 -2.75	 4.00	    -23.187	    -22.827
 -2.75	 4.25	    -22.625	    -22.854
 -2.75	 4.50	    -22.053	    -22.890
 -2.75	 4.75	    -21.642	    -22.908
 -2.75	 5.00	    -21.286	    -22.914
 -2.50	 1.00	    -25.901	    -22.123
 -2.50	 1.25	    -25.495	    -22.180
 -2.50	 1.50	    -24.909	    -22.245
 -2.50	 1.75	    -24.476	    -22.318
 -2.50	 2.00	    -24.178	    -22.398
 -2.50	 2.25	    -23.927	    -22.484
 -2.50	 2.50	    -23.734	    -22.573
 -2.50	 2.75	    -23.611	    -22.663
 -2.50	 3.00	    -23.538	    -22.752
 -2.50	 3.25	    -23.499	    -22.834
 -2.50	 3.50	    -23.471	    -22.908
 -2.50	 3.75	    -23.409	    -22.971
 -2.50	 4.00	    -23.171	    -23.023
 -2.50	 4.25	    -22.558	    -23.066
 -2.50	 4.50	    -22.024	    -23.133
 -2.50	 4.75	    -21.639	    -23.157
 -2.50	 5.00	    -21.282	    -23.164
 -2.25	 1.00	    -26.060	    -22.290
 -2.25	 1.25	    -25.625	    -22.337
 -2.25	 1.50	    -25.004	    -22.390
 -2.25	 1.75	    -24.548	    -22.451
 -2.25	 2.00	    -24.234	    -22.521
 -2.25	 2.25	    -23.973	    -22.598
 -2.25	 2.50	    -23.775	    -22.682
 -2.25	 2.75	    -23.649	    -22.771
 -2.25	 3.00	    -23.573	    -22.864
 -2.25	 3.25	    -23.528	    -22.956
 -2.25	 3.50	    -23.481	    -23.044
 -2.25	 3.75	    -23.389	    -23.125
 -2.25	 4.00	    -23.143	    -23.195
 -2.25	 4.25	    -22.471	    -23.260
 -2.25	 4.50	    -22.002	    -23.374
 -2.25	 4.75	    -21.637	    -23.407
 -2.25	 5.00	    -21.279	    -23.414
 -2.00	 1.00	    -26.238	    -22.475
 -2.00	 1.25	    -25.774	    -22.512
 -2.00	 1.50	    -25.120	    -22.554
 -2.00	 1.75	    -24.643	    -22.604
 -2.00	 2.00	    -24.313	    -22.661
 -2.00	 2.25	    -24.037	    -22.727
 -2.00	 2.50	    -23.829	    -22.801
 -2.00	 2.75	    -23.698	    -22.883
 -2.00	 3.00	    -23.617	    -22.972
 -2.00	 3.25	    -23.565	    -23.065
 -2.00	 3.50	    -23.504	    -23.160
 -2.00	 3.75	    -23.383	    -23.254
 -2.00	 4.00	    -23.111	    -23.341
 -2.00	 4.25	    -22.367	    -23.433
 -2.00	 4.50	    -21.986	    -23.614
 -2.00	 4.75	    -21.636	    -23.656
 -2.00	 5.00	    -21.278	    -23.664
 -1.75	 1.00	    -26.432	    -22.675
 -1.75	 1.25	    -25.940	    -22.703
 -1.75	 1.50	    -25.254	    -22.736
 -1.75	 1.75	    -24.757	    -22.775
 -1.75	 2.00	    -24.410	    -22.821
 -1.75	 2.25	    -24.120	    -22.875
 -1.75	 2.50	    -23.900	    -22.937
 -1.75	 2.75	    -23.760	    -23.008
 -1.75	 3.00	    -23.672	    -23.087
 -1.75	 3.25	    -23.613	    -23.175
 -1.75	 3.50	    -23.540	    -23.268
 -1.75	 3.75	    -23.396	    -23.366
 -1.75	 4.00	    -23.083	    -23.464
 -1.75	 4.25	    -22.254	    -23.588
 -1.75	 4.50	    -21.976	    -23.852
 -1.75	 4.75	    -21.635	    -23.906
 -1.75	 5.00	    -21.277	    -23.913
 -1.50	 1.00	    -26.638	    -22.887
 -1.50	 1.25	    -26.118	    -22.908
 -1.50	 1.50	    -25.402	    -22.934
 -1.50	 1.75	    -24.888	    -22.964
 -1.50	 2.00	    -24.525	    -23.000
 -1.50	 2.25	    -24.218	    -23.042
 -1.50	 2.50	    -23.986	    -23.092
 -1.50	 2.75	    -23.836	    -23.150
 -1.50	 3.00	    -23.740	    -23.218
 -1.50	 3.25	    -23.673	    -23.294
 -1.50	 3.50	    -23.589	    -23.380
 -1.50	 3.75	    -23.425	    -23.474
 -1.50	 4.00	    -23.067	    -23.574
 -1.50	 4.25	    -22.142	    -23.733
 -1.50	 4.50	    -21.969	    -24.088
 -1.50	 4.75	    -21.635	    -24.156
 -1.50	 5.00	    -21.277	    -24.163
 -1.25	 1.00	    -26.852	    -23.108
 -1.25	 1.25	    -26.306	    -23.124
 -1.25	 1.50	    -25.563	    -23.143
 -1.25	 1.75	    -25.033	    -23.166
 -1.25	 2.00	    -24.655	    -23.194
 -1.25	 2.25	    -24.331	    -23.227
 -1.25	 2.50	    -24.085	    -23.266
 -1.25	 2.75	    -23.926	    -23.313
 -1.25	 3.00	    -23.822	    -23.367
 -1.25	 3.25	    -23.746	    -23.431
 -1.25	 3.50	    -23.651	    -23.505
 -1.25	 3.75	    -23.470	    -23.589
 -1.25	 4.00	    -23.068	    -23.683
 -1.25	 4.25	    -22.042	    -23.879
 -1.25	 4.50	    -21.965	    -24.324
 -1.25	 4.75	    -21.635	    -24.406
 -1.25	 5.00	    -21.276	    -24.412
 -1.00	 1.00	    -27.071	    -23.336
 -1.00	 1.25	    -26.500	    -23.348
 -1.00	 1.50	    -25.735	    -23.363
 -1.00	 1.75	    -25.190	    -23.380
 -1.00	 2.00	    -24.796	    -23.401
 -1.00	 2.25	    -24.456	    -23.427
 -1.00	 2.50	    -24.197	    -23.457
 -1.00	 2.75	    -24.028	    -23.493
