# k[h/mpc]  pk_dm  pk_gas    
1.000000000000000048e-04 1.231852320849920120e-06 1.231852320849920120e-06
1.063329999999999999e-04 1.307141084282880105e-06 1.307141084282880105e-06
1.130660000000000047e-04 1.387024120545280059e-06 1.387024120545280059e-06
1.202259999999999971e-04 1.471783286865919846e-06 1.471783286865919846e-06
1.278399999999999957e-04 1.561714533335040182e-06 1.561714533335040182e-06
1.359359999999999941e-04 1.657137298145279882e-06 1.657137298145279882e-06
1.445440000000000039e-04 1.758380414730239882e-06 1.758380414730239882e-06
1.536970000000000025e-04 1.865796204625920064e-06 1.865796204625920064e-06
1.634309999999999875e-04 1.979765175091199686e-06 1.979765175091199686e-06
1.737800000000000065e-04 2.100677228625920122e-06 2.100677228625920122e-06
1.847850000000000003e-04 2.228959848693760006e-06 2.228959848693760006e-06
1.964869999999999909e-04 2.365054611619840304e-06 2.365054611619840304e-06
2.089299999999999935e-04 2.509431279452159871e-06 2.509431279452159871e-06
2.221600000000000007e-04 2.662592497582080538e-06 2.662592497582080538e-06
2.362289999999999909e-04 2.825064399503360330e-06 2.825064399503360330e-06
2.511890000000000238e-04 2.997410699673600244e-06 2.997410699673600244e-06
2.670959999999999784e-04 3.180218600652799593e-06 3.180218600652799593e-06
2.840100000000000133e-04 3.374112885964799815e-06 3.374112885964799815e-06
3.019949999999999978e-04 3.579760617717760244e-06 3.579760617717760244e-06
3.211190000000000268e-04 3.797852346122240219e-06 3.797852346122240219e-06
3.414550000000000029e-04 4.029130295214080364e-06 4.029130295214080364e-06
3.630780000000000227e-04 4.274369572372479616e-06 4.274369572372479616e-06
3.860709999999999836e-04 4.534392261181440317e-06 4.534392261181440317e-06
4.105189999999999772e-04 4.810081514291201009e-06 4.810081514291201009e-06
4.365160000000000199e-04 5.102273508147199378e-06 5.102273508147199378e-06
4.641590000000000125e-04 5.412034602598399946e-06 5.412034602598399946e-06
4.935519999999999664e-04 5.740257345536000413e-06 5.740257345536000413e-06
5.248069999999999645e-04 6.088116142080000249e-06 6.088116142080000249e-06
5.580420000000000215e-04 6.456597492531200566e-06 6.456597492531200566e-06
5.933810000000000300e-04 6.846969754419200014e-06 6.846969754419200014e-06
6.309570000000000239e-04 7.260360356659199744e-06 7.260360356659199744e-06
6.709139999999999939e-04 7.698037656780800097e-06 7.698037656780800097e-06
7.133999999999999933e-04 8.161363964723199747e-06 8.161363964723199747e-06
7.585779999999999867e-04 8.651654614220799896e-06 8.651654614220799896e-06
8.066160000000000170e-04 9.170318891417599230e-06 9.170318891417599230e-06
8.576960000000000226e-04 9.718907011071998168e-06 9.718907011071998168e-06
9.120110000000000066e-04 1.029878128312319877e-05 1.029878128312319877e-05
9.697650000000000367e-04 1.091158587473919979e-05 1.091158587473919979e-05
1.031180000000000031e-03 1.155891797688319996e-05 1.155891797688319996e-05
1.096479999999999937e-03 1.224228082810879968e-05 1.224228082810879968e-05
1.165910000000000037e-03 1.296336557178879942e-05 1.296336557178879942e-05
1.239749999999999967e-03 1.372386335129599963e-05 1.372386335129599963e-05
1.318259999999999918e-03 1.452532438138880073e-05 1.452532438138880073e-05
1.401740000000000061e-03 1.536939282923519977e-05 1.536939282923519977e-05
1.490500000000000071e-03 1.625766588579839888e-05 1.625766588579839888e-05
