# log T	log cool/n2	log heat/n2
1.00	-28.296	-25.278
1.10	-28.064	-25.278
1.20	-27.835	-25.279
1.30	-27.602	-25.279
1.40	-27.367	-25.280
1.50	-27.144	-25.280
1.60	-26.936	-25.281
1.70	-26.744	-25.281
1.80	-26.559	-25.282
1.90	-26.368	-25.283
2.00	-26.164	-25.284
2.10	-25.955	-25.285
2.20	-25.756	-25.286
2.30	-25.576	-25.287
2.40	-25.420	-25.288
2.50	-25.288	-25.289
2.60	-25.179	-25.290
2.70	-25.087	-25.292
2.80	-25.010	-25.294
2.90	-24.944	-25.295
3.00	-24.886	-25.297
3.10	-24.834	-25.299
3.20	-24.785	-25.301
3.30	-24.734	-25.304
3.40	-24.676	-25.306
3.50	-24.605	-25.309
3.60	-24.517	-25.312
3.70	-24.409	-25.315
3.80	-24.273	-25.318
3.90	-24.081	-25.321
4.00	-23.723	-25.324
4.10	-23.000	-25.337
4.20	-22.006	-25.535
4.30	-21.813	-26.077
4.40	-21.936	-26.348
4.50	-21.955	-26.539
4.60	-21.884	-26.631
4.70	-21.732	-26.644
4.80	-21.527	-26.635
4.90	-21.341	-26.622
5.00	-21.276	-26.519
5.10	-21.322	-26.522
5.20	-21.324	-26.561
5.30	-21.300	-26.592
5.40	-21.291	-26.607
5.50	-21.465	-26.607
5.60	-21.674	-26.617
5.70	-21.725	-26.626
5.80	-21.778	-26.632
5.90	-21.807	-26.624
6.00	-21.814	-26.592
6.10	-21.837	-26.572
6.20	-21.892	-26.567
6.30	-22.070	-26.518
6.40	-22.252	-26.508
6.50	-22.387	-26.543
6.60	-22.467	-26.557
6.70	-22.497	-26.554
6.80	-22.503	-26.557
6.90	-22.493	-26.568
7.00	-22.491	-26.578
7.10	-22.535	-26.585
7.20	-22.611	-26.589
7.30	-22.658	-26.596
7.40	-22.670	-26.604
7.50	-22.660	-26.610
7.60	-22.634	-26.611
7.70	-22.601	-26.605
7.80	-22.564	-26.590
7.90	-22.526	-26.579
8.00	-22.489	-26.596
8.10	-22.450	-26.610
8.20	-22.410	-26.621
8.30	-22.369	-26.630
8.40	-22.324	-26.638
8.50	-22.280	-26.644
8.60	-22.231	-26.648
8.70	-22.183	-26.652
8.80	-22.132	-26.656
8.90	-22.079	-26.658
9.00	-22.026	-26.660
