# z        HI_i     HI_h     HeI_i    HeI_h    HeII_i   HeII_h  
 .000E+00 .606E-13 .228E-12 .303E-13 .249E-12 .110E-14 .208E-13 
 .491E-01 .743E-13 .281E-12 .376E-13 .306E-12 .132E-14 .250E-13 
 .101E+00 .908E-13 .344E-12 .463E-13 .375E-12 .159E-14 .300E-13 
 .155E+00 .110E-12 .419E-12 .568E-13 .458E-12 .190E-14 .359E-13 
 .211E+00 .134E-12 .509E-12 .694E-13 .558E-12 .226E-14 .428E-13 
 .271E+00 .161E-12 .615E-12 .844E-13 .676E-12 .269E-14 .508E-13 
 .333E+00 .194E-12 .740E-12 .102E-12 .815E-12 .319E-14 .600E-13 
 .399E+00 .231E-12 .885E-12 .123E-12 .977E-12 .377E-14 .707E-13 
 .468E+00 .275E-12 .105E-11 .146E-12 .117E-11 .443E-14 .827E-13 
 .540E+00 .324E-12 .124E-11 .174E-12 .138E-11 .517E-14 .963E-13 
 .615E+00 .381E-12 .146E-11 .205E-12 .162E-11 .600E-14 .111E-12 
 .695E+00 .443E-12 .170E-11 .239E-12 .189E-11 .690E-14 .128E-12 
 .778E+00 .513E-12 .197E-11 .277E-12 .219E-11 .788E-14 .145E-12 
 .865E+00 .588E-12 .226E-11 .319E-12 .251E-11 .891E-14 .164E-12 
 .957E+00 .669E-12 .256E-11 .363E-12 .285E-11 .997E-14 .183E-12 
 .105E+01 .753E-12 .288E-11 .408E-12 .320E-11 .110E-13 .201E-12 
 .115E+01 .838E-12 .320E-11 .454E-12 .355E-11 .119E-13 .218E-12 
 .126E+01 .922E-12 .352E-11 .499E-12 .388E-11 .127E-13 .233E-12 
 .137E+01 .100E-11 .381E-11 .539E-12 .417E-11 .132E-13 .243E-12 
 .149E+01 .107E-11 .406E-11 .574E-12 .441E-11 .133E-13 .246E-12 
 .161E+01 .113E-11 .426E-11 .601E-12 .458E-11 .130E-13 .243E-12 
 .174E+01 .117E-11 .442E-11 .619E-12 .468E-11 .124E-13 .233E-12 
 .187E+01 .120E-11 .452E-11 .629E-12 .470E-11 .115E-13 .218E-12 
 .201E+01 .121E-11 .455E-11 .628E-12 .463E-11 .104E-13 .198E-12 
 .216E+01 .121E-11 .452E-11 .617E-12 .446E-11 .892E-14 .172E-12 
 .232E+01 .120E-11 .443E-11 .596E-12 .420E-11 .723E-14 .142E-12 
 .248E+01 .117E-11 .429E-11 .566E-12 .386E-11 .530E-14 .107E-12 
 .265E+01 .112E-11 .410E-11 .530E-12 .345E-11 .317E-14 .699E-13 
 .283E+01 .107E-11 .389E-11 .493E-12 .303E-11 .121E-14 .345E-13 
 .302E+01 .102E-11 .369E-11 .461E-12 .275E-11 .426E-15 .158E-13 
 .321E+01 .968E-12 .350E-11 .433E-12 .254E-11 .210E-15 .900E-14 
 .342E+01 .918E-12 .332E-11 .409E-12 .238E-11 .135E-15 .617E-14 
 .364E+01 .873E-12 .317E-11 .390E-12 .224E-11 .956E-16 .451E-14 
 .387E+01 .834E-12 .304E-11 .375E-12 .215E-11 .704E-16 .338E-14 
 .411E+01 .802E-12 .294E-11 .365E-12 .209E-11 .530E-16 .256E-14 
 .436E+01 .777E-12 .286E-11 .360E-12 .205E-11 .404E-16 .194E-14 
 .462E+01 .758E-12 .281E-11 .359E-12 .204E-11 .298E-16 .144E-14 
 .489E+01 .745E-12 .279E-11 .361E-12 .204E-11 .221E-16 .106E-14 
 .518E+01 .732E-12 .276E-11 .363E-12 .205E-11 .166E-16 .772E-15 
 .549E+01 .709E-12 .268E-11 .355E-12 .200E-11 .126E-16 .558E-15 
 .581E+01 .609E-12 .229E-11 .297E-12 .166E-11 .988E-17 .402E-15 
 .614E+01 .311E-14 .186E-13 .377E-14 .321E-13 .783E-17 .282E-15 
 .649E+01 .729E-15 .441E-14 .894E-15 .765E-14 .345E-17 .145E-15 
 .686E+01 .337E-15 .205E-14 .416E-15 .355E-14 .172E-17 .803E-16 
 .725E+01 .215E-15 .132E-14 .268E-15 .226E-14 .934E-18 .454E-16 
 .765E+01 .156E-15 .958E-15 .195E-15 .163E-14 .521E-18 .256E-16 
 .807E+01 .120E-15 .744E-15 .152E-15 .126E-14 .294E-18 .143E-16 
 .852E+01 .967E-16 .602E-15 .124E-15 .102E-14 .168E-18 .795E-17 
 .899E+01 .796E-16 .499E-15 .103E-15 .849E-15 .997E-19 .446E-17 
 .948E+01 .667E-16 .421E-15 .870E-16 .719E-15 .627E-19 .258E-17 
 .999E+01 .566E-16 .358E-15 .743E-16 .615E-15 .428E-19 .156E-17 
 .105E+02 .483E-16 .308E-15 .640E-16 .531E-15 .321E-19 .101E-17 
 .111E+02 .415E-16 .265E-15 .552E-16 .459E-15 .259E-19 .696E-18 
 .117E+02 .356E-16 .227E-15 .474E-16 .394E-15 .211E-19 .500E-18 
 .123E+02 .306E-16 .196E-15 .408E-16 .339E-15 .178E-19 .372E-18 
 .130E+02 .265E-16 .169E-15 .353E-16 .293E-15 .154E-19 .282E-18 
 .137E+02 .230E-16 .147E-15 .306E-16 .255E-15 .133E-19 .213E-18 
 .144E+02 .200E-16 .128E-15 .266E-16 .221E-15 .116E-19 .158E-18 
 .151E+02 .174E-16 .111E-15 .232E-16 .192E-15 .101E-19 .110E-18 
