# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
0.000000000000000000e+00 6.060000000000000179e-14 2.279999999999999877e-13 3.030000000000000090e-14 2.489999999999999992e-13 1.099999999999999928e-15 2.080000000000000035e-14
4.909999999999999781e-02 7.429999999999999643e-14 2.810000000000000143e-13 3.759999999999999882e-14 3.060000000000000088e-13 1.319999999999999953e-15 2.500000000000000076e-14
1.010000000000000064e-01 9.080000000000000185e-14 3.439999999999999983e-13 4.630000000000000214e-14 3.750000000000000177e-13 1.590000000000000001e-15 2.999999999999999839e-14
1.549999999999999989e-01 1.099999999999999983e-13 4.189999999999999817e-13 5.680000000000000157e-14 4.579999999999999670e-13 1.900000000000000108e-15 3.589999999999999723e-14
2.109999999999999931e-01 1.340000000000000096e-13 5.089999999999999516e-13 6.939999999999999963e-14 5.580000000000000457e-13 2.260000000000000042e-15 4.279999999999999812e-14
2.710000000000000187e-01 1.609999999999999956e-13 6.150000000000000048e-13 8.439999999999999883e-14 6.760000000000000478e-13 2.689999999999999929e-15 5.080000000000000190e-14
3.330000000000000182e-01 1.940000000000000064e-13 7.399999999999999770e-13 1.019999999999999945e-13 8.149999999999999604e-13 3.190000000000000165e-15 5.999999999999999677e-14
3.990000000000000213e-01 2.309999999999999750e-13 8.849999999999999650e-13 1.230000000000000060e-13 9.769999999999999769e-13 3.770000000000000123e-15 7.070000000000000419e-14
4.680000000000000271e-01 2.749999999999999894e-13 1.049999999999999969e-12 1.460000000000000090e-13 1.170000000000000063e-12 4.429999999999999804e-15 8.270000000000000355e-14
5.400000000000000355e-01 3.239999999999999826e-13 1.239999999999999967e-12 1.739999999999999906e-13 1.379999999999999976e-12 5.169999999999999995e-15 9.630000000000000366e-14
6.149999999999999911e-01 3.809999999999999921e-13 1.460000000000000039e-12 2.050000000000000100e-13 1.619999999999999963e-12 5.999999999999999677e-15 1.109999999999999940e-13
6.949999999999999512e-01 4.429999999999999804e-13 1.700000000000000026e-12 2.389999999999999914e-13 1.889999999999999823e-12 6.900000000000000102e-15 1.280000000000000099e-13
7.780000000000000249e-01 5.130000000000000355e-13 1.969999999999999886e-12 2.769999999999999809e-13 2.190000000000000160e-12 7.880000000000000249e-15 1.449999999999999880e-13
8.649999999999999911e-01 5.880000000000000189e-13 2.260000000000000064e-12 3.190000000000000039e-13 2.510000000000000008e-12 8.910000000000000026e-15 1.640000000000000080e-13
9.569999999999999618e-01 6.689999999999999766e-13 2.559999999999999997e-12 3.630000000000000183e-13 2.850000000000000175e-12 9.970000000000000684e-15 1.830000000000000028e-13
1.050000000000000044e+00 7.530000000000000226e-13 2.879999999999999845e-12 4.079999999999999781e-13 3.200000000000000097e-12 1.100000000000000046e-14 2.010000000000000018e-13
1.149999999999999911e+00 8.379999999999999634e-13 3.200000000000000097e-12 4.539999999999999840e-13 3.550000000000000019e-12 1.190000000000000010e-14 2.180000000000000051e-13
1.260000000000000009e+00 9.219999999999999084e-13 3.519999999999999945e-12 4.989999999999999942e-13 3.879999999999999623e-12 1.270000000000000047e-14 2.330000000000000169e-13
1.370000000000000107e+00 9.999999999999999799e-13 3.810000000000000123e-12 5.390000000000000257e-13 4.170000000000000205e-12 1.319999999999999992e-14 2.430000000000000248e-13
1.489999999999999991e+00 1.070000000000000086e-12 4.060000000000000068e-12 5.739999999999999775e-13 4.409999999999999990e-12 1.330000000000000076e-14 2.460000000000000120e-13
1.610000000000000098e+00 1.130000000000000032e-12 4.260000000000000023e-12 6.009999999999999635e-13 4.580000000000000275e-12 1.299999999999999983e-14 2.430000000000000248e-13
1.739999999999999991e+00 1.170000000000000063e-12 4.420000000000000149e-12 6.189999999999999878e-13 4.680000000000000253e-12 1.239999999999999954e-14 2.330000000000000169e-13
1.870000000000000107e+00 1.199999999999999935e-12 4.520000000000000127e-12 6.290000000000000461e-13 4.699999999999999764e-12 1.149999999999999991e-14 2.180000000000000051e-13
2.009999999999999787e+00 1.210000000000000095e-12 4.549999999999999797e-12 6.280000000000000504e-13 4.630000000000000264e-12 1.040000000000000018e-14 1.979999999999999894e-13
2.160000000000000142e+00 1.210000000000000095e-12 4.520000000000000127e-12 6.169999999999999963e-13 4.459999999999999979e-12 8.919999999999999794e-15 1.719999999999999992e-13
2.319999999999999840e+00 1.199999999999999935e-12 4.430000000000000309e-12 5.959999999999999848e-13 4.199999999999999875e-12 7.229999999999999548e-15 1.420000000000000008e-13
2.479999999999999982e+00 1.170000000000000063e-12 4.289999999999999694e-12 5.660000000000000116e-13 3.860000000000000112e-12 5.300000000000000136e-15 1.069999999999999985e-13
2.649999999999999911e+00 1.120000000000000074e-12 4.099999999999999897e-12 5.299999999999999631e-13 3.450000000000000042e-12 3.169999999999999840e-15 6.989999999999999750e-14
2.830000000000000071e+00 1.070000000000000086e-12 3.889999999999999782e-12 4.930000000000000198e-13 3.029999999999999812e-12 1.209999999999999940e-15 3.449999999999999814e-14
3.020000000000000018e+00 1.020000000000000097e-12 3.689999999999999827e-12 4.609999999999999542e-13 2.750000000000000197e-12 4.260000000000000197e-16 1.579999999999999957e-14
3.209999999999999964e+00 9.679999999999999143e-13 3.500000000000000031e-12 4.330000000000000230e-13 2.540000000000000082e-12 2.100000000000000104e-16 8.999999999999999516e-15
3.419999999999999929e+00 9.179999999999999254e-13 3.319999999999999990e-12 4.090000000000000243e-13 2.379999999999999956e-12 1.349999999999999996e-16 6.169999999999999679e-15
3.640000000000000124e+00 8.730000000000000162e-13 3.170000000000000023e-12 3.900000000000000043e-13 2.240000000000000149e-12 9.560000000000000283e-17 4.510000000000000315e-15
