# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
0.000000000000000000e+00 4.726800000000000367e-14 1.778400000000000026e-13 2.363400000000000183e-14 1.942200000000000045e-13 4.839999999999999761e-16 9.152000000000000408e-15
4.909999999999999781e-02 4.726800000000000367e-14 1.778400000000000026e-13 2.363400000000000183e-14 1.942200000000000045e-13 4.839999999999999761e-16 9.152000000000000408e-15
1.010000000000000064e-01 5.842515606936415886e-14 2.209789595375722808e-13 2.957642774566474200e-14 2.406502890173410627e-13 4.839999999999999761e-16 9.152000000000000408e-15
1.549999999999999989e-01 7.193333333333332890e-14 2.726533333333333435e-13 3.672066666666666684e-14 2.972955555555555366e-13 4.839999999999999761e-16 9.152000000000000408e-15
2.109999999999999931e-01 8.780571428571428308e-14 3.343414285714285623e-13 4.535699999999999924e-14 3.655971428571428364e-13 4.839999999999999761e-16 9.152000000000000408e-15
2.710000000000000187e-01 1.080300000000000077e-13 4.107999999999999762e-13 5.608199999999999898e-14 4.505800000000000854e-13 4.859714867617108125e-16 9.189637474541751914e-15
3.330000000000000182e-01 1.305619354838709843e-13 4.985709677419355447e-13 6.848903225806451491e-14 5.482645161290322977e-13 6.126173410404624397e-16 1.158921001926782469e-14
3.990000000000000213e-01 1.583163636363636471e-13 6.046181818181818635e-13 8.353090909090909326e-14 6.663327272727273087e-13 7.703259259259259610e-16 1.454607407407407547e-14
4.680000000000000271e-01 1.896304347826086899e-13 7.257391304347826070e-13 1.008800000000000079e-13 8.035130434782609869e-13 9.576285714285714883e-16 1.812721428571428810e-14
5.400000000000000355e-01 2.261783333333333320e-13 8.642833333333333681e-13 1.205533333333333403e-13 9.626500000000001441e-13 1.180446666666666559e-15 2.229333333333333481e-14
6.149999999999999911e-01 2.675399999999999384e-13 1.024399999999999957e-12 1.437799999999999690e-13 1.138799999999999752e-12 1.450000000000000093e-15 2.725599999999999955e-14
6.949999999999999512e-01 3.153149999999999545e-13 1.208999999999999998e-12 1.698449999999999695e-13 1.342574999999999861e-12 1.768226086956521433e-15 3.309756521739129891e-14
7.780000000000000249e-01 3.672484337349397995e-13 1.409732530120481985e-12 1.982045783132530050e-13 1.567236144578313230e-12 2.130088888888888695e-15 3.971244444444444595e-14
8.649999999999999911e-01 4.250193103448276119e-13 1.632799999999999868e-12 2.299924137931034128e-13 1.814351724137931010e-12 2.542613333333333239e-15 4.711519999999999219e-14
9.569999999999999618e-01 4.874830434782608684e-13 1.869626086956521885e-12 2.644878260869565460e-13 2.078869565217391464e-12 2.996399999999999938e-15 5.557200000000000292e-14
1.050000000000000044e+00 5.521141935483870998e-13 2.112206451612903557e-12 2.993690322580645873e-13 2.349225806451613440e-12 3.477618390804597683e-15 6.399218390804596642e-14
1.149999999999999911e+00 6.204899999999999138e-13 2.371199999999999832e-12 3.361799999999999872e-13 2.632499999999999940e-12 3.996443478260869436e-15 7.352304347826087077e-14
1.205000000000000071e+00 6.566181818181819449e-13 2.507345454545455222e-12 3.557154545454545746e-13 2.780700000000000460e-12 4.275269565217392542e-15 7.852086956521741632e-14
1.260000000000000009e+00 6.893781818181816962e-13 2.632145454545454448e-12 3.732654545454545351e-13 2.909400000000000104e-12 4.547612903225806882e-15 8.333032258064517332e-14
1.314999999999999947e+00 7.219254545454544348e-13 2.755881818181818004e-12 3.906381818181817999e-13 3.036681818181817777e-12 4.815634408602150814e-15 8.801419354838708812e-14
1.370000000000000107e+00 7.523454545454545213e-13 2.868981818181817997e-12 4.062381818181819051e-13 3.149781818181818174e-12 5.038000000000001006e-15 9.218000000000000455e-14
1.430000000000000160e+00 7.845500000000000245e-13 2.988050000000000379e-12 4.226950000000000482e-13 3.268200000000000150e-12 5.268000000000000405e-15 9.652000000000001433e-14
1.489999999999999991e+00 8.118500000000000192e-13 3.085550000000000317e-12 4.363449999999999951e-13 3.361800000000000074e-12 5.460000000000000369e-15 1.001200000000000066e-13
1.550000000000000044e+00 8.385000000000001127e-13 3.179800000000000244e-12 4.494749999999999604e-13 3.450849999999999983e-12 5.627999999999999943e-15 1.033200000000000081e-13
1.610000000000000098e+00 8.619000000000001947e-13 3.257800000000000113e-12 4.600050000000000175e-13 3.517149999999999811e-12 5.748000000000000316e-15 1.057200000000000029e-13
1.675000000000000044e+00 8.850000000000000660e-13 3.337199999999999957e-12 4.703999999999999949e-13 3.581400000000000471e-12 5.820833333333333090e-15 1.073050000000000032e-13
1.739999999999999991e+00 9.006000000000001207e-13 3.399599999999999772e-12 4.774199999999999993e-13 3.620400000000000204e-12 5.844666666666666844e-15 1.080200000000000032e-13
1.805000000000000160e+00 9.153000000000001489e-13 3.456600000000000438e-12 4.837200000000000835e-13 3.652200000000000937e-12 5.802499999999999919e-15 1.077449999999999993e-13
1.870000000000000107e+00 9.269999999999999880e-13 3.495600000000000170e-12 4.876200000000000972e-13 3.660000000000000157e-12 5.730999999999999448e-15 1.070300000000000120e-13
1.939999999999999947e+00 9.371142857142857688e-13 3.528942857142857399e-12 4.905085714285715530e-13 3.658199999999999902e-12 5.598153846153846098e-15 1.048892307692307720e-13
2.009999999999999787e+00 9.410142857142857825e-13 3.540642857142857440e-12 4.901185714285714911e-13 3.630899999999999806e-12 5.455999999999999515e-15 1.025200000000000140e-13
2.084999999999999964e+00 9.438000000000000780e-13 3.545099999999999909e-12 4.884100000000000363e-13 3.589300000000000064e-12 5.227538461538461801e-15 9.871230769230771089e-14
2.160000000000000142e+00 9.438000000000000780e-13 3.533400000000000272e-12 4.841199999999999607e-13 3.523000000000000235e-12 4.990857142857142703e-15 9.466285714285713806e-14
