#log n	log T	log cool/n2	log heat/n2
 -6.00	 1.00	    -25.332	    -21.168
 -6.00	 1.10	    -25.276	    -21.209
 -6.00	 1.20	    -25.219	    -21.250
 -6.00	 1.30	    -25.162	    -21.293
 -6.00	 1.40	    -25.101	    -21.336
 -6.00	 1.50	    -25.035	    -21.379
 -6.00	 1.60	    -24.965	    -21.423
 -6.00	 1.70	    -24.893	    -21.468
 -6.00	 1.80	    -24.819	    -21.513
 -6.00	 1.90	    -24.738	    -21.559
 -6.00	 2.00	    -24.636	    -21.605
 -6.00	 2.10	    -24.504	    -21.652
 -6.00	 2.20	    -24.344	    -21.698
 -6.00	 2.30	    -24.168	    -21.742
 -6.00	 2.40	    -23.990	    -21.786
 -6.00	 2.50	    -23.826	    -21.831
 -6.00	 2.60	    -23.679	    -21.875
 -6.00	 2.70	    -23.552	    -21.920
 -6.00	 2.80	    -23.445	    -21.965
 -6.00	 2.90	    -23.360	    -22.011
 -6.00	 3.00	    -23.299	    -22.057
 -6.00	 3.10	    -23.263	    -22.103
 -6.00	 3.20	    -23.250	    -22.148
 -6.00	 3.30	    -23.257	    -22.194
 -6.00	 3.40	    -23.282	    -22.238
 -6.00	 3.50	    -23.320	    -22.282
 -6.00	 3.60	    -23.366	    -22.325
 -6.00	 3.70	    -23.414	    -22.368
 -6.00	 3.80	    -23.459	    -22.409
 -6.00	 3.90	    -23.494	    -22.449
 -6.00	 4.00	    -23.517	    -22.487
 -6.00	 4.10	    -23.524	    -22.525
 -6.00	 4.20	    -23.510	    -22.561
 -6.00	 4.30	    -23.466	    -22.596
 -6.00	 4.40	    -23.385	    -22.630
 -6.00	 4.50	    -23.273	    -22.662
 -6.00	 4.60	    -23.149	    -22.693
 -6.00	 4.70	    -23.030	    -22.723
 -6.00	 4.80	    -22.924	    -22.752
 -6.00	 4.90	    -22.826	    -22.780
 -6.00	 5.00	    -22.728	    -22.808
 -6.00	 5.10	    -22.630	    -22.835
 -6.00	 5.20	    -22.528	    -22.864
 -6.00	 5.30	    -22.430	    -22.893
 -6.00	 5.40	    -22.344	    -22.921
 -6.00	 5.50	    -22.271	    -22.950
 -6.00	 5.60	    -22.214	    -22.983
 -6.00	 5.70	    -22.174	    -23.024
 -6.00	 5.80	    -22.205	    -23.092
 -6.00	 5.90	    -22.749	    -23.478
 -6.00	 6.00	    -22.847	    -23.628
 -6.00	 6.10	    -22.798	    -23.664
 -6.00	 6.20	    -22.737	    -23.692
 -6.00	 6.30	    -22.664	    -23.715
 -6.00	 6.40	    -22.579	    -23.714
 -6.00	 6.50	    -22.489	    -23.719
 -6.00	 6.60	    -22.398	    -23.740
 -6.00	 6.70	    -22.307	    -23.776
 -6.00	 6.80	    -22.221	    -23.753
 -6.00	 6.90	    -22.202	    -23.011
 -6.00	 7.00	    -22.046	    -24.082
 -6.00	 7.10	    -21.972	    -24.212
 -6.00	 7.20	    -21.897	    -24.347
 -6.00	 7.30	    -21.816	    -24.281
 -6.00	 7.40	    -21.728	    -24.271
 -6.00	 7.50	    -21.637	    -24.091
 -6.00	 7.60	    -21.543	    -23.749
 -6.00	 7.70	    -21.446	    -23.747
 -6.00	 7.80	    -21.350	    -23.855
 -6.00	 7.90	    -21.253	    -23.978
 -6.00	 8.00	    -21.156	    -24.093
 -6.00	 8.10	    -21.060	    -24.227
 -6.00	 8.20	    -20.960	    -24.276
 -6.00	 8.30	    -20.863	    -24.361
 -6.00	 8.40	    -20.765	    -24.479
 -6.00	 8.50	    -20.667	    -24.502
 -6.00	 8.60	    -20.568	    -24.587
 -6.00	 8.70	    -20.472	    -24.607
 -6.00	 8.80	    -20.372	    -24.646
 -6.00	 8.90	    -20.273	    -24.677
 -6.00	 9.00	    -20.176	    -24.705
 -5.90	 1.00	    -25.341	    -21.199
 -5.90	 1.10	    -25.284	    -21.239
 -5.90	 1.20	    -25.227	    -21.279
 -5.90	 1.30	    -25.169	    -21.320
 -5.90	 1.40	    -25.105	    -21.362
 -5.90	 1.50	    -25.035	    -21.405
 -5.90	 1.60	    -24.957	    -21.448
 -5.90	 1.70	    -24.875	    -21.492
 -5.90	 1.80	    -24.791	    -21.536
 -5.90	 1.90	    -24.703	    -21.581
 -5.90	 2.00	    -24.596	    -21.627
 -5.90	 2.10	    -24.460	    -21.673
 -5.90	 2.20	    -24.296	    -21.718
 -5.90	 2.30	    -24.117	    -21.762
 -5.90	 2.40	    -23.938	    -21.807
 -5.90	 2.50	    -23.773	    -21.851
 -5.90	 2.60	    -23.627	    -21.895
 -5.90	 2.70	    -23.501	    -21.941
 -5.90	 2.80	    -23.396	    -21.986
 -5.90	 2.90	    -23.314	    -22.033
 -5.90	 3.00	    -23.255	    -22.079
 -5.90	 3.10	    -23.220	    -22.127
 -5.90	 3.20	    -23.206	    -22.174
 -5.90	 3.30	    -23.212	    -22.221
 -5.90	 3.40	    -23.233	    -22.267
 -5.90	 3.50	    -23.267	    -22.313
 -5.90	 3.60	    -23.309	    -22.358
 -5.90	 3.70	    -23.355	    -22.402
 -5.90	 3.80	    -23.400	    -22.444
 -5.90	 3.90	    -23.438	    -22.485
 -5.90	 4.00	    -23.468	    -22.525
 -5.90	 4.10	    -23.483	    -22.564
 -5.90	 4.20	    -23.477	    -22.602
 -5.90	 4.30	    -23.437	    -22.639
 -5.90	 4.40	    -23.351	    -22.674
 -5.90	 4.50	    -23.228	    -22.707
 -5.90	 4.60	    -23.091	    -22.739
 -5.90	 4.70	    -22.962	    -22.770
 -5.90	 4.80	    -22.847	    -22.799
 -5.90	 4.90	    -22.744	    -22.829
 -5.90	 5.00	    -22.647	    -22.858
 -5.90	 5.10	    -22.550	    -22.888
 -5.90	 5.20	    -22.457	    -22.919
 -5.90	 5.30	    -22.372	    -22.949
 -5.90	 5.40	    -22.295	    -22.979
 -5.90	 5.50	    -22.228	    -23.007
 -5.90	 5.60	    -22.164	    -23.038
 -5.90	 5.70	    -22.118	    -23.073
 -5.90	 5.80	    -22.102	    -23.117
 -5.90	 5.90	    -22.150	    -23.188
 -5.90	 6.00	    -22.325	    -23.333
 -5.90	 6.10	    -22.730	    -23.645
 -5.90	 6.20	    -22.762	    -23.714
 -5.90	 6.30	    -22.700	    -23.733
 -5.90	 6.40	    -22.625	    -23.747
 -5.90	 6.50	    -22.541	    -23.757
 -5.90	 6.60	    -22.454	    -23.779
 -5.90	 6.70	    -22.368	    -23.822
 -5.90	 6.80	    -22.284	    -23.865
 -5.90	 6.90	    -22.284	    -23.266
 -5.90	 7.00	    -22.117	    -24.176
 -5.90	 7.10	    -22.047	    -24.293
 -5.90	 7.20	    -21.978	    -24.368
 -5.90	 7.30	    -21.899	    -24.540
 -5.90	 7.40	    -21.815	    -24.417
 -5.90	 7.50	    -21.726	    -24.267
 -5.90	 7.60	    -21.634	    -23.912
 -5.90	 7.70	    -21.539	    -23.757
 -5.90	 7.80	    -21.443	    -23.867
 -5.90	 7.90	    -21.347	    -23.982
 -5.90	 8.00	    -21.252	    -24.105
 -5.90	 8.10	    -21.153	    -24.207
 -5.90	 8.20	    -21.059	    -24.357
 -5.90	 8.30	    -20.959	    -24.403
 -5.90	 8.40	    -20.861	    -24.481
 -5.90	 8.50	    -20.763	    -24.595
 -5.90	 8.60	    -20.665	    -24.617
 -5.90	 8.70	    -20.567	    -24.671
 -5.90	 8.80	    -20.483	    -24.727
 -5.90	 8.90	    -20.371	    -24.755
 -5.90	 9.00	    -20.273	    -24.786
 -5.80	 1.00	    -25.350	    -21.232
 -5.80	 1.10	    -25.293	    -21.270
 -5.80	 1.20	    -25.236	    -21.310
 -5.80	 1.30	    -25.176	    -21.350
 -5.80	 1.40	    -25.109	    -21.391
 -5.80	 1.50	    -25.032	    -21.432
 -5.80	 1.60	    -24.945	    -21.474
 -5.80	 1.70	    -24.850	    -21.517
 -5.80	 1.80	    -24.755	    -21.560
 -5.80	 1.90	    -24.659	    -21.604
 -5.80	 2.00	    -24.549	    -21.649
 -5.80	 2.10	    -24.414	    -21.694
 -5.80	 2.20	    -24.251	    -21.739
 -5.80	 2.30	    -24.073	    -21.784
 -5.80	 2.40	    -23.896	    -21.827
 -5.80	 2.50	    -23.732	    -21.872
 -5.80	 2.60	    -23.587	    -21.916
 -5.80	 2.70	    -23.461	    -21.962
 -5.80	 2.80	    -23.357	    -22.007
 -5.80	 2.90	    -23.276	    -22.054
 -5.80	 3.00	    -23.219	    -22.101
 -5.80	 3.10	    -23.184	    -22.149
 -5.80	 3.20	    -23.171	    -22.198
 -5.80	 3.30	    -23.175	    -22.246
 -5.80	 3.40	    -23.195	    -22.294
 -5.80	 3.50	    -23.226	    -22.342
 -5.80	 3.60	    -23.265	    -22.388
 -5.80	 3.70	    -23.307	    -22.433
 -5.80	 3.80	    -23.350	    -22.477
 -5.80	 3.90	    -23.388	    -22.519
 -5.80	 4.00	    -23.420	    -22.561
