# log n	log T	log cool/n2	log heat/n2
  0.00	 4.00	    -23.329	    -24.473
  0.00	 4.10	    -22.723	    -24.497
  0.00	 4.20	    -22.008	    -24.654
  0.00	 4.30	    -21.820	    -25.210
  0.00	 4.40	    -21.936	    -25.628
  0.00	 4.50	    -21.957	    -26.082
  0.00	 4.60	    -21.884	    -26.570
  0.00	 4.70	    -21.733	    -26.775
  0.00	 4.80	    -21.527	    -26.854
  0.00	 4.90	    -21.341	    -26.985
  0.00	 5.00	    -21.276	    -26.756
  0.00	 5.10	    -21.322	    -26.613
  0.00	 5.20	    -21.324	    -26.536
  0.00	 5.30	    -21.300	    -26.565
  0.00	 5.40	    -21.291	    -26.580
  0.00	 5.50	    -21.466	    -26.547
  0.00	 5.60	    -21.674	    -26.615
  0.00	 5.70	    -21.725	    -26.717
  0.00	 5.80	    -21.778	    -26.855
  0.00	 5.90	    -21.807	    -26.935
  0.00	 6.00	    -21.814	    -26.992
  0.00	 6.10	    -21.837	    -27.035
  0.00	 6.20	    -21.892	    -27.119
  0.00	 6.30	    -22.070	    -27.182
  0.00	 6.40	    -22.251	    -27.243
  0.00	 6.50	    -22.387	    -27.353
  0.00	 6.60	    -22.467	    -27.418
  0.00	 6.70	    -22.497	    -27.458
  0.00	 6.80	    -22.503	    -27.501
  0.00	 6.90	    -22.493	    -27.545
  0.00	 7.00	    -22.491	    -27.552
  0.00	 7.10	    -22.535	    -27.603
  0.00	 7.20	    -22.611	    -27.692
  0.00	 7.30	    -22.658	    -27.708
  0.00	 7.40	    -22.670	    -27.761
  0.00	 7.50	    -22.660	    -27.830
  0.00	 7.60	    -22.634	    -27.897
  0.00	 7.70	    -22.601	    -27.938
  0.00	 7.80	    -22.564	    -27.961
  0.00	 7.90	    -22.526	    -27.986
  0.00	 8.00	    -22.489	    -28.099
  0.00	 8.10	    -22.450	    -28.228
  0.00	 8.20	    -22.410	    -28.358
  0.00	 8.30	    -22.369	    -28.494
  0.00	 8.40	    -22.324	    -28.621
  0.00	 8.50	    -22.280	    -28.743
  0.00	 8.60	    -22.231	    -28.867
  0.00	 8.70	    -22.183	    -28.992
  0.00	 8.80	    -22.132	    -29.121
  0.00	 8.90	    -22.079	    -29.253
  0.00	 9.00	    -22.026	    -29.388
  0.00	 9.10	    -21.967	    -29.525
  0.00	 9.20	    -21.906	    -29.671
  0.00	 9.30	    -21.840	    -29.842
  0.00	 9.40	    -21.768	    -30.006
  0.00	 9.50	    -21.689	    -30.160
  0.00	 9.60	    -21.600	    -30.299
  0.00	 9.70	    -21.500	    -30.419
  0.00	 9.80	    -21.388	    -30.534
  0.00	 9.90	    -21.263	    -30.639
  0.00	10.00	    -21.125	    -30.703
