#log n	log T	log cool/n2	log heat/n2
 -6.00	 1.00	    -25.332	    -21.168
 -6.00	 1.10	    -25.276	    -21.209
 -6.00	 1.20	    -25.219	    -21.250
 -6.00	 1.30	    -25.162	    -21.293
 -6.00	 1.40	    -25.101	    -21.336
 -6.00	 1.50	    -25.035	    -21.379
 -6.00	 1.60	    -24.965	    -21.423
 -6.00	 1.70	    -24.893	    -21.468
 -6.00	 1.80	    -24.819	    -21.513
 -6.00	 1.90	    -24.738	    -21.559
 -6.00	 2.00	    -24.636	    -21.605
 -6.00	 2.10	    -24.504	    -21.652
 -6.00	 2.20	    -24.344	    -21.698
 -6.00	 2.30	    -24.168	    -21.742
 -6.00	 2.40	    -23.990	    -21.786
 -6.00	 2.50	    -23.826	    -21.831
 -6.00	 2.60	    -23.679	    -21.875
 -6.00	 2.70	    -23.552	    -21.920
 -6.00	 2.80	    -23.445	    -21.965
 -6.00	 2.90	    -23.360	    -22.011
 -6.00	 3.00	    -23.299	    -22.057
 -6.00	 3.10	    -23.263	    -22.103
 -6.00	 3.20	    -23.250	    -22.148
 -6.00	 3.30	    -23.257	    -22.194
 -6.00	 3.40	    -23.282	    -22.238
 -6.00	 3.50	    -23.320	    -22.282
 -6.00	 3.60	    -23.366	    -22.325
 -6.00	 3.70	    -23.414	    -22.368
 -6.00	 3.80	    -23.459	    -22.409
 -6.00	 3.90	    -23.494	    -22.449
 -6.00	 4.00	    -23.517	    -22.487
 -6.00	 4.10	    -23.524	    -22.525
 -6.00	 4.20	    -23.510	    -22.561
 -6.00	 4.30	    -23.466	    -22.596
 -6.00	 4.40	    -23.385	    -22.630
 -6.00	 4.50	    -23.273	    -22.662
 -6.00	 4.60	    -23.149	    -22.693
 -6.00	 4.70	    -23.030	    -22.723
 -6.00	 4.80	    -22.924	    -22.752
 -6.00	 4.90	    -22.826	    -22.780
 -6.00	 5.00	    -22.728	    -22.808
 -5.90	 1.00	    -25.341	    -21.199
 -5.90	 1.10	    -25.284	    -21.239
 -5.90	 1.20	    -25.227	    -21.279
 -5.90	 1.30	    -25.169	    -21.320
 -5.90	 1.40	    -25.105	    -21.362
 -5.90	 1.50	    -25.035	    -21.405
 -5.90	 1.60	    -24.957	    -21.448
 -5.90	 1.70	    -24.875	    -21.492
 -5.90	 1.80	    -24.791	    -21.536
 -5.90	 1.90	    -24.703	    -21.581
 -5.90	 2.00	    -24.596	    -21.627
 -5.90	 2.10	    -24.460	    -21.673
 -5.90	 2.20	    -24.296	    -21.718
 -5.90	 2.30	    -24.117	    -21.762
 -5.90	 2.40	    -23.938	    -21.807
 -5.90	 2.50	    -23.773	    -21.851
 -5.90	 2.60	    -23.627	    -21.895
 -5.90	 2.70	    -23.501	    -21.941
 -5.90	 2.80	    -23.396	    -21.986
 -5.90	 2.90	    -23.314	    -22.033
 -5.90	 3.00	    -23.255	    -22.079
 -5.90	 3.10	    -23.220	    -22.127
 -5.90	 3.20	    -23.206	    -22.174
 -5.90	 3.30	    -23.212	    -22.221
 -5.90	 3.40	    -23.233	    -22.267
 -5.90	 3.50	    -23.267	    -22.313
 -5.90	 3.60	    -23.309	    -22.358
 -5.90	 3.70	    -23.355	    -22.402
 -5.90	 3.80	    -23.400	    -22.444
 -5.90	 3.90	    -23.438	    -22.485
 -5.90	 4.00	    -23.468	    -22.525
 -5.90	 4.10	    -23.483	    -22.564
 -5.90	 4.20	    -23.477	    -22.602
 -5.90	 4.30	    -23.437	    -22.639
 -5.90	 4.40	    -23.351	    -22.674
 -5.90	 4.50	    -23.228	    -22.707
 -5.90	 4.60	    -23.091	    -22.739
 -5.90	 4.70	    -22.962	    -22.770
 -5.90	 4.80	    -22.847	    -22.799
 -5.90	 4.90	    -22.744	    -22.829
 -5.90	 5.00	    -22.647	    -22.858
 -5.80	 1.00	    -25.350	    -21.232
 -5.80	 1.10	    -25.293	    -21.270
 -5.80	 1.20	    -25.236	    -21.310
 -5.80	 1.30	    -25.176	    -21.350
 -5.80	 1.40	    -25.109	    -21.391
 -5.80	 1.50	    -25.032	    -21.432
 -5.80	 1.60	    -24.945	    -21.474
 -5.80	 1.70	    -24.850	    -21.517
 -5.80	 1.80	    -24.755	    -21.560
 -5.80	 1.90	    -24.659	    -21.604
 -5.80	 2.00	    -24.549	    -21.649
 -5.80	 2.10	    -24.414	    -21.694
 -5.80	 2.20	    -24.251	    -21.739
 -5.80	 2.30	    -24.073	    -21.784
 -5.80	 2.40	    -23.896	    -21.827
 -5.80	 2.50	    -23.732	    -21.872
 -5.80	 2.60	    -23.587	    -21.916
 -5.80	 2.70	    -23.461	    -21.962
 -5.80	 2.80	    -23.357	    -22.007
 -5.80	 2.90	    -23.276	    -22.054
 -5.80	 3.00	    -23.219	    -22.101
 -5.80	 3.10	    -23.184	    -22.149
 -5.80	 3.20	    -23.171	    -22.198
 -5.80	 3.30	    -23.175	    -22.246
 -5.80	 3.40	    -23.195	    -22.294
 -5.80	 3.50	    -23.226	    -22.342
 -5.80	 3.60	    -23.265	    -22.388
 -5.80	 3.70	    -23.307	    -22.433
 -5.80	 3.80	    -23.350	    -22.477
 -5.80	 3.90	    -23.388	    -22.519
 -5.80	 4.00	    -23.420	    -22.561
 -5.80	 4.10	    -23.440	    -22.601
 -5.80	 4.20	    -23.437	    -22.641
 -5.80	 4.30	    -23.397	    -22.679
 -5.80	 4.40	    -23.304	    -22.715
 -5.80	 4.50	    -23.169	    -22.750
 -5.80	 4.60	    -23.020	    -22.782
 -5.80	 4.70	    -22.882	    -22.813
 -5.80	 4.80	    -22.759	    -22.844
 -5.80	 4.90	    -22.651	    -22.874
 -5.80	 5.00	    -22.553	    -22.905
 -5.70	 1.00	    -25.358	    -21.266
 -5.70	 1.10	    -25.301	    -21.304
 -5.70	 1.20	    -25.244	    -21.342
 -5.70	 1.30	    -25.182	    -21.381
 -5.70	 1.40	    -25.112	    -21.421
 -5.70	 1.50	    -25.028	    -21.462
 -5.70	 1.60	    -24.929	    -21.502
 -5.70	 1.70	    -24.821	    -21.544
 -5.70	 1.80	    -24.712	    -21.586
 -5.70	 1.90	    -24.607	    -21.630
 -5.70	 2.00	    -24.495	    -21.673
 -5.70	 2.10	    -24.364	    -21.718
 -5.70	 2.20	    -24.207	    -21.762
 -5.70	 2.30	    -24.035	    -21.806
 -5.70	 2.40	    -23.863	    -21.850
 -5.70	 2.50	    -23.702	    -21.894
 -5.70	 2.60	    -23.558	    -21.938
 -5.70	 2.70	    -23.432	    -21.983
 -5.70	 2.80	    -23.329	    -22.029
 -5.70	 2.90	    -23.248	    -22.076
 -5.70	 3.00	    -23.191	    -22.123
 -5.70	 3.10	    -23.156	    -22.171
 -5.70	 3.20	    -23.142	    -22.221
 -5.70	 3.30	    -23.146	    -22.270
 -5.70	 3.40	    -23.164	    -22.319
 -5.70	 3.50	    -23.193	    -22.368
 -5.70	 3.60	    -23.229	    -22.416
 -5.70	 3.70	    -23.269	    -22.463
 -5.70	 3.80	    -23.309	    -22.508
 -5.70	 3.90	    -23.346	    -22.552
 -5.70	 4.00	    -23.378	    -22.594
 -5.70	 4.10	    -23.398	    -22.636
 -5.70	 4.20	    -23.395	    -22.677
 -5.70	 4.30	    -23.351	    -22.717
 -5.70	 4.40	    -23.249	    -22.754
 -5.70	 4.50	    -23.102	    -22.789
 -5.70	 4.60	    -22.941	    -22.822
 -5.70	 4.70	    -22.793	    -22.854
 -5.70	 4.80	    -22.663	    -22.885
 -5.70	 4.90	    -22.550	    -22.916
 -5.70	 5.00	    -22.452	    -22.949
 -5.60	 1.00	    -25.366	    -21.301
 -5.60	 1.10	    -25.309	    -21.338
 -5.60	 1.20	    -25.251	    -21.376
 -5.60	 1.30	    -25.189	    -21.415
 -5.60	 1.40	    -25.115	    -21.453
 -5.60	 1.50	    -25.022	    -21.493
 -5.60	 1.60	    -24.910	    -21.533
 -5.60	 1.70	    -24.787	    -21.573
 -5.60	 1.80	    -24.665	    -21.615
 -5.60	 1.90	    -24.550	    -21.657
 -5.60	 2.00	    -24.437	    -21.699
 -5.60	 2.10	    -24.311	    -21.743
 -5.60	 2.20	    -24.164	    -21.786
 -5.60	 2.30	    -24.001	    -21.830
 -5.60	 2.40	    -23.836	    -21.873
 -5.60	 2.50	    -23.681	    -21.917
 -5.60	 2.60	    -23.539	    -21.962
 -5.60	 2.70	    -23.415	    -22.007
 -5.60	 2.80	    -23.311	    -22.052
 -5.60	 2.90	    -23.230	    -22.098
 -5.60	 3.00	    -23.171	    -22.145
 -5.60	 3.10	    -23.135	    -22.194
 -5.60	 3.20	    -23.120	    -22.243
 -5.60	 3.30	    -23.122	    -22.293
 -5.60	 3.40	    -23.139	    -22.343
 -5.60	 3.50	    -23.166	    -22.393
 -5.60	 3.60	    -23.201	    -22.442
 -5.60	 3.70	    -23.239	    -22.490
 -5.60	 3.80	    -23.277	    -22.537
