 MODEL DESIGNATION: MW_center           
 MODEL GENERATED: Mon Nov 28 15:05:08 2022

              RESULTS FOR THE **STELLAR** WIND POWER AND ENERGY

                             POWER [ERG/SEC]                  ENERGY [ERG]               MOMENTUM FLUX [DYN]      
    TIME           ALL      OB      RSG      LBV       WR          ALL         ALL      OB      RSG      LBV       WR        
 .10000E+05      39.937   39.937   13.593  -30.000  -30.000      51.436      31.689   31.689    7.419  -30.000  -30.000
 .11000E+06      39.943   39.943   13.593  -30.000  -30.000      52.483      31.699   31.699    7.419  -30.000  -30.000
 .21000E+06      39.950   39.950   13.593  -30.000  -30.000      52.767      31.708   31.708    7.419  -30.000  -30.000
 .31000E+06      39.956   39.956   13.593  -30.000  -30.000      52.940      31.717   31.717    7.419  -30.000  -30.000
 .41000E+06      39.962   39.962   13.593  -30.000  -30.000      53.064      31.726   31.726    7.419  -30.000  -30.000
 .51000E+06      39.968   39.968   13.593  -30.000  -30.000      53.162      31.735   31.735    7.419  -30.000  -30.000
 .61000E+06      39.974   39.974   13.593  -30.000  -30.000      53.243      31.744   31.744    7.419  -30.000  -30.000
 .71000E+06      39.979   39.979   13.593  -30.000  -30.000      53.312      31.753   31.753    7.419  -30.000  -30.000
 .81000E+06      39.985   39.985   13.593  -30.000  -30.000      53.372      31.762   31.762    7.419  -30.000  -30.000
 .91000E+06      39.990   39.990   13.593  -30.000  -30.000      53.426      31.772   31.772    7.419  -30.000  -30.000
 .10100E+07      39.996   39.996   13.593  -30.000  -30.000      53.474      31.781   31.781    7.419  -30.000  -30.000
 .11100E+07      40.001   40.001   13.593  -30.000  -30.000      53.518      31.790   31.790    7.419  -30.000  -30.000
 .12100E+07      40.005   40.005   13.593  -30.000  -30.000      53.558      31.799   31.799    7.419  -30.000  -30.000
 .13100E+07      40.010   40.010   13.593  -30.000  -30.000      53.595      31.808   31.808    7.419  -30.000  -30.000
 .14100E+07      40.013   40.013   13.593  -30.000  -30.000      53.629      31.817   31.817    7.419  -30.000  -30.000
 .15100E+07      40.015   40.015   13.593  -30.000  -30.000      53.662      31.825   31.825    7.419  -30.000  -30.000
 .16100E+07      40.016   40.016   13.593  -30.000  -30.000      53.691      31.832   31.832    7.419  -30.000  -30.000
 .17100E+07      40.016   40.016   13.593  -30.000  -30.000      53.719      31.838   31.838    7.419  -30.000  -30.000
 .18100E+07      40.013   40.013   13.593  -30.000  -30.000      53.746      31.842   31.842    7.419  -30.000  -30.000
 .19100E+07      40.007   40.007   13.593  -30.000  -30.000      53.770      31.844   31.844    7.419  -30.000  -30.000
 .20100E+07      39.997   39.997   13.593  -30.000  -30.000      53.792      31.842   31.842    7.419  -30.000  -30.000
 .21100E+07      39.983   39.983   13.593  -30.000  -30.000      53.813      31.837   31.837    7.419  -30.000  -30.000
 .22100E+07      39.962   39.962   13.593  -30.000  -30.000      53.832      31.824   31.824    7.419  -30.000  -30.000
 .23100E+07      39.932   39.932   13.593  -30.000  -30.000      53.849      31.804   31.804    7.419  -30.000  -30.000
 .24100E+07      39.946   39.946   13.593  -30.000  -30.000      53.866      31.837   31.837    7.419  -30.000  -30.000
 .25100E+07      39.970   39.970   13.593  -30.000  -30.000      53.883      31.887   31.887    7.419  -30.000  -30.000
 .26100E+07      40.016   40.016   13.593  -30.000  -30.000      53.901      31.970   31.970    7.419  -30.000  -30.000
 .27100E+07      40.026   40.026   13.593  -30.000  -30.000      53.919      32.012   32.012    7.419  -30.000  -30.000
