 MODEL DESIGNATION: MW_center           
 MODEL GENERATED: Mon Nov 28 15:05:08 2022

              RESULTS FOR THE SUPERNOVA RATE

                     ALL SUPERNOVAE               TYPE IB SUPERNOVAE               ALL SUPERNOVAE           STARS + SUPERNOVAE
    TIME       TOTAL RATE  POWER   ENERGY    TOTAL RATE  POWER   ENERGY   TYPICAL MASS   LOWEST PROG. MASS    POWER   ENERGY
   0.100E+05    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.937   51.436
   0.110E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.943   52.483
   0.210E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.950   52.767
   0.310E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.956   52.940
   0.410E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.962   53.064
   0.510E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.968   53.162
   0.610E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.974   53.243
   0.710E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.979   53.312
   0.810E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.985   53.372
   0.910E+06    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.990   53.426
   0.101E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           39.996   53.474
   0.111E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.001   53.518
   0.121E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.005   53.558
   0.131E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.010   53.595
   0.141E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.013   53.629
   0.151E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.015   53.662
   0.161E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.016   53.691
   0.171E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.016   53.719
   0.181E+07    -30.000  -30.000  -30.000     -30.000  -30.000  -30.000        0.0             0.0           40.013   53.746
